font,pcol,prow,lcol,lrow,seq,cross,color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
防,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,1,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹊,1,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巢,1,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
邛,1,6,2,6,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,1,7,2,7,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旨,1,8,2,8,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苕,1,9,2,9,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
谁,1,11,2,11,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侜,1,12,2,12,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予,1,13,2,13,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美,1,14,2,14,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
心,1,16,2,16,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
焉,1,17,2,17,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
忉,1,18,2,18,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
忉,1,19,2,19,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唐,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,2,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甓,2,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
邛,2,6,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,2,7,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旨,2,8,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鷊,2,9,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
谁,2,11,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侜,2,12,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予,2,13,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美,2,14,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
心,2,16,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
焉,2,17,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
惕,2,18,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
惕,2,19,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
