font,pcol,prow,lcol,lrow,seq,cross,color
蒹,1,1,2,1,0,0,1
葭,1,2,2,2,0,0,1
苍,1,3,2,3,1,0,2
苍,1,4,2,4,1,0,2
,,,,,,,
白,1,6,2,6,0,0,1
露,1,7,2,7,0,0,1
为,1,8,2,8,0,0,1
霜,1,9,2,9,1,0,2
,,,,,,,
所,1,11,2,11,0,0,1
谓,1,12,2,12,0,0,1
伊,1,13,2,13,0,0,1
人,1,14,2,14,0,0,1
,,,,,,,
在,1,16,2,16,0,0,1
水,1,17,2,17,0,0,1
一,1,18,2,18,1,0,2
方,1,19,2,19,1,0,2
,,,,,,,
溯,1,21,2,21,0,0,1
洄,1,22,2,22,0,0,1
从,1,23,2,23,0,0,1
之,1,24,2,24,0,0,1
,,,,,,,
道,1,26,2,26,0,0,1
阻,1,27,2,27,0,0,1
且,1,28,2,28,0,0,1
长,1,29,2,29,1,0,2
,,,,,,,
溯,1,31,2,31,0,0,1
游,1,32,2,32,0,0,1
从,1,33,2,33,0,0,1
之,1,34,2,34,0,0,1
,,,,,,,
宛,1,36,2,36,0,0,1
在,1,37,2,37,0,0,1
水,1,38,2,38,0,0,1
中,1,39,2,39,0,0,1
央,1,40,2,40,1,0,2
,,,,,,,
蒹,2,1,3,1,0,0,1
葭,2,2,3,2,0,0,1
萋,2,3,3,3,2,0,2
萋,2,4,3,4,2,0,2
,,,,,,,
白,2,6,3,6,0,0,1
露,2,7,3,7,0,0,1
未,2,8,3,8,0,0,1
晞,2,9,3,9,2,0,2
,,,,,,,
所,2,11,3,11,0,0,1
谓,2,12,3,12,0,0,1
伊,2,13,3,13,0,0,1
人,2,14,3,14,0,0,1
,,,,,,,
在,2,16,3,16,0,0,1
水,2,17,3,17,0,0,1
之,2,18,3,18,2,0,2
湄,2,19,3,19,2,0,2
,,,,,,,
溯,2,21,3,21,0,0,1
洄,2,22,3,22,0,0,1
从,2,23,3,23,0,0,1
之,2,24,3,24,0,0,1
,,,,,,,
道,2,26,3,26,0,0,1
阻,2,27,3,27,0,0,1
且,2,28,3,28,0,0,1
跻,2,29,3,29,2,0,2
,,,,,,,
溯,2,31,3,31,0,0,1
游,2,32,3,32,0,0,1
从,2,33,3,33,0,0,1
之,2,34,3,34,0,0,1
,,,,,,,
宛,2,36,3,36,0,0,1
在,2,37,3,37,0,0,1
水,2,38,3,38,0,0,1
中,2,39,3,39,0,0,1
坻,2,40,3,40,2,0,2
,,,,,,,
蒹,3,1,0,0,0,0,1
葭,3,2,0,0,0,0,1
采,3,3,0,0,0,0,2
采,3,4,0,0,0,0,2
,,,,,,,
白,3,6,0,0,0,0,1
露,3,7,0,0,0,0,1
未,3,8,0,0,0,0,1
已,3,9,0,0,0,0,2
,,,,,,,
所,3,11,0,0,0,0,1
谓,3,12,0,0,0,0,1
伊,3,13,0,0,0,0,1
人,3,14,0,0,0,0,1
,,,,,,,
在,3,16,0,0,0,0,1
水,3,17,0,0,0,0,1
之,3,18,0,0,0,0,2
涘,3,19,0,0,0,0,2
,,,,,,,
溯,3,21,0,0,0,0,1
洄,3,22,0,0,0,0,1
从,3,23,0,0,0,0,1
之,3,24,0,0,0,0,1
,,,,,,,
道,3,26,0,0,0,0,1
阻,3,27,0,0,0,0,1
且,3,28,0,0,0,0,1
右,3,29,0,0,0,0,2
,,,,,,,
溯,3,31,0,0,0,0,1
游,3,32,0,0,0,0,1
从,3,33,0,0,0,0,1
之,3,34,0,0,0,0,1
,,,,,,,
宛,3,36,0,0,0,0,1
在,3,37,0,0,0,0,1
水,3,38,0,0,0,0,1
中,3,39,0,0,0,0,1
沚,3,40,0,0,0,0,2
