font,pcol,prow,lcol,lrow,seq,cross,color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
十,1,1,2,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
亩,1,2,2,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之,1,3,2,3,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
间,1,4,2,4,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兮,1,5,2,5,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桑,1,7,2,7,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
者,1,8,2,8,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
闲,1,9,2,9,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
闲,1,10,2,10,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兮,1,11,2,11,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行,1,13,2,13,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
与,1,14,2,14,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
子,1,15,2,15,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还,1,16,2,16,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兮,1,17,2,17,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
十,2,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
亩,2,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之,2,3,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
外,2,4,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兮,2,5,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桑,2,7,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
者,2,8,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泄,2,9,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泄,2,10,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兮,2,11,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行,2,13,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
与,2,14,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
子,2,15,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
逝,2,16,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兮,2,17,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
